TimeStamp,"Type","Time","Symbol","Description","Price","Change from the Close","Float","Spread","10% tgt","20% target","SSR level","Change from the Close","Market Cap","Volume Today"
2022-11-29 10:17:07,"RU","1669735027","GOOGL","Running up:  +0.04 in less than one minute.","1.13","44.871795","188989","1","1.017","0.904","0.702","0.35","8687440","663239"
2022-11-29 10:34:33,"RU","1669736072","AAPL","Running up:  +0.01 in less than one minute.","0.55","19.565217","43655100","0.04","0.495","0.44","0.414","0.09","56055450","1306184"
2022-11-29 10:41:45,"RU","1669736504","AAPL","Running up:  +0.0101 in less than one minute.","0.54","17.391304","43655100","0.02","0.486","0.432","0.414","0.08","55036260","1750711"
2022-11-29 10:43:53,"RU","1669736633","AAPL","Running up:  +0.0314 in less than one minute.","0.57","23.913043","43655100","2","0.513","0.456","0.414","0.11","58093830","1864275"
